item_name	text	Type	Answers	Values	Score: EQ_Test	Score: Cognitive	Score: Social_Skills	Score: Emotional_Reactivity	optional
EQ34	I am very blunt, which some people take to be rudeness, even though this is unintentional.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	r1				no
EQ35	I do not tend to find social situations confusing.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1		1		no
EQ36	Other people tell me I am good at understanding how they are feeling and what they are thinking.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1	1			no
EQ37	When I talk to people, I tend to talk about their experiences rather than my own.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1				no
EQ38	It upsets me to see an animal in pain.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1				no
EQ39	I am able to make decisions without being influenced by people’s feelings.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	r1				no
EQ41	I can easily tell if someone else is interested or bored with what I am saying.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1	1			no
EQ42	I get upset if I see people suffering on news programs.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1			1	no
EQ43	Friends usually talk to me about their problems as they say that I am very understanding.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1			1	no
EQ44	I can sense if I am intruding, even if the other person doesn’t tell me.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1	1			no
EQ46	People sometimes tell me that I have gone too far with teasing.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	r1				no
EQ48	Other people often say that I am insensitive, though I don’t always see why.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	r1			r1	no
EQ49	If I see a stranger in a group, I think that it is up to them to make an effort to join in.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	r1				no
EQ50	I usually stay emotionally detached when watching a film.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	r1			r1	no
EQ52	I can tune into how someone else feels rapidly and intuitively.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1	1			no
EQ54	I can easily work out what another person might want to talk about.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1	1			no
EQ55	I can tell if someone is masking their true emotion.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1	1			no
EQ57	I don’t consciously work out the rules of social situations.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1		1		no
EQ58	I am good at predicting what someone will do.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1	1			no
EQ59	I tend to get emotionally involved with a friend’s problems.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1			1	no
EQ60	I can usually appreciate the other person’s viewpoint, even if I don’t agree with it.	likert	Strongly agree|Slightly agree|Slightly disagree|Strongly disagree	2|1|0|0	1				no
