trial,"actor ","emotion ",channel,sentence,auditory_noise_level,video_1,audio_1,video_1_height,video_1_width,duration,video_1_x,video_1_y,video_1_x*,video_1_y*,
95,W8,Angry,Song,Kid,No,../User/Stimuli/V_W8_A_So_K_N1.mp4,../User/Stimuli/A_W8_A_So_K.wav,480,720,4000,0,0,,,
96,M7,Happy,Song,Kid,Baseline,../User/Stimuli/AV_M7_H_So_K_N1.mp4,,480,720,4000,0,0,,,
97,W8,Fearful,Song,Dog,Baseline,../User/Stimuli/AV_W8_F_So_D_N1.mp4,,480,720,4000,0,0,,,
98,W8,Happy,Song,Kid,No,../User/Stimuli/V_W8_H_So_K_N1.mp4,../User/Stimuli/A_W8_H_So_K.wav,480,720,4000,0,0,,,
99,M9,Fearful,Speech,Dog,No,../User/Stimuli/V_M9_F_Sp_D_N1.mp4,../User/Stimuli/A_M9_F_Sp_D.wav,480,720,4000,0,0,,,
100,W6,Fearful,Speech,Dog,Baseline,../User/Stimuli/AV_W6_F_Sp_D_N1.mp4,,480,720,4000,0,0,,,
101,W8,Angry,Speech,Dog,Low,../User/Stimuli/V_W8_A_Sp_D_N1.mp4,../User/Stimuli/A_W8_A_Sp_D_0.wav,480,720,4000,0,0,,,
102,M9,Fearful,Speech,Dog,Baseline,../User/Stimuli/AV_M9_F_Sp_D_N1.mp4,,480,720,4000,0,0,,,
103,M9,Angry,Song,Kid,Baseline,../User/Stimuli/AV_M9_A_So_K_N1.mp4,,480,720,4000,0,0,,,
104,M9,Angry,Speech,Kid,Baseline,../User/Stimuli/AV_M9_A_Sp_k_N1.mp4,,480,720,4000,0,0,,,
105,W6,Fearful,Speech,Kid,No,../User/Stimuli/V_W6_F_Sp_K_N1.mp4,../User/Stimuli/A_W6_F_Sp_K.wav,480,720,4000,0,0,,,
106,W8,Angry,Speech,Dog,High,../User/Stimuli/V_W8_A_Sp_D_N1.mp4,../User/Stimuli/A_W8_A_Sp_D_-5.wav,480,720,4000,0,0,,,
107,W8,Happy,Song,Kid,Low,../User/Stimuli/V_W8_H_So_K_N1.mp4,../User/Stimuli/A_W8_H_So_K_0.wav,480,720,4000,0,0,,,
108,W8,Neutral,Speech,Kid,High,../User/Stimuli/V_W8_N_Sp_K_N1.mp4,../User/Stimuli/A_W8_N_Sp_K_-5.wav,480,720,4000,0,0,,,
109,W8,Happy,Speech,Dog,High,../User/Stimuli/V_W8_H_Sp_D_N1.mp4,../User/Stimuli/A_W8_H_Sp_D_-5.wav,480,720,4000,0,0,,,
110,W8,Fearful,Song,Kid,Baseline,../User/Stimuli/AV_W8_F_So_K_N1.mp4,,480,720,4000,0,0,,,
111,M7,Neutral,Speech,Kid,Baseline,../User/Stimuli/AV_M7_N_Sp_K_N1.mp4,,480,720,4000,0,0,,,
112,M7,Angry,Speech,Kid,No,../User/Stimuli/V_M7_A_Sp_K_N1.mp4,../User/Stimuli/A_M7_A_Sp_K.wav,480,720,4000,0,0,,,
113,W8,Neutral,Song,Dog,High,../User/Stimuli/V_W8_N_So_D_N1.mp4,../User/Stimuli/A_W8_N_So_D_-5.wav,480,720,4000,0,0,,,
114,M7,Angry,Song,Dog,Low,../User/Stimuli/V_M7_A_So_D_N1.mp4,../User/Stimuli/A_M7_A_So_D_0.wav,480,720,4000,0,0,,,
115,W6,Angry,Speech,Kid,Baseline,../User/Stimuli/AV_W6_A_Sp_K_N1.mp4,,480,720,4000,0,0,,,
116,M9,Happy,Speech,Kid,Low,../User/Stimuli/V_M9_H_Sp_K_N1.mp4,../User/Stimuli/A_M9_H_Sp_K_0.wav,480,720,4000,0,0,,,
117,M9,Angry,Speech,Kid,Low,../User/Stimuli/V_M9_A_Sp_K_N1.mp4,../User/Stimuli/A_M9_A_Sp_K_0.wav,480,720,4000,0,0,,,
118,M9,Fearful,Song,Dog,Baseline,../User/Stimuli/AV_M9_F_So_D_N1.mp4,,480,720,4000,0,0,,,
119,W8,Angry,Speech,Dog,Baseline,../User/Stimuli/AV_W8_A_Sp_D_N1.mp4,,480,720,4000,0,0,,,
120,W6,Fearful,Speech,Kid,High,../User/Stimuli/V_W6_F_Sp_K_N1.mp4,../User/Stimuli/A_W6_F_Sp_K_-5.wav,480,720,4000,0,0,,,
121,W8,Angry,Speech,Dog,No,../User/Stimuli/V_W8_A_Sp_D_N1.mp4,../User/Stimuli/A_W8_A_Sp_D.wav,480,720,4000,0,0,,,
122,M7,Fearful,Speech,Kid,Baseline,../User/Stimuli/AV_M7_F_Sp_K_N1.mp4,,480,720,4000,0,0,,,
123,W8,Angry,Song,Kid,Low,../User/Stimuli/V_W8_A_So_K_N1.mp4,../User/Stimuli/A_W8_A_So_K_0.wav,480,720,4000,0,0,,,
124,M9,Happy,Song,Kid,Baseline,../User/Stimuli/AV_M9_H_So_K_N1.mp4,,480,720,4000,0,0,,,
125,M9,Happy,Speech,Kid,No,../User/Stimuli/V_M9_H_Sp_K_N1.mp4,../User/Stimuli/A_M9_H_Sp_K.wav,480,720,4000,0,0,,,
126,W8,Fearful,Speech,Kid,Low,../User/Stimuli/V_W8_F_Sp_K_N1.mp4,../User/Stimuli/A_W8_F_Sp_K_0.wav,480,720,4000,0,0,,,
127,M9,Happy,Speech,Kid,Baseline,../User/Stimuli/AV_M9_H_Sp_K_N1.mp4,,480,720,4000,0,0,,,
128,M7,Angry,Speech,Dog,Baseline,../User/Stimuli/AV_M7_A_Sp_D_N1.mp4,,480,720,4000,0,0,,,
129,M7,Fearful,Song,Kid,High,../User/Stimuli/V_M7_F_So_K_N1.mp4,../User/Stimuli/A_M7_F_So_K_-5.wav,480,720,4000,0,0,,,
130,M7,Happy,Speech,Kid,High,../User/Stimuli/V_M7_H_Sp_K_N1.mp4,../User/Stimuli/A_M7_H_Sp_K_-5.wav,480,720,4000,0,0,,,
131,W6,Fearful,Song,Dog,No,../User/Stimuli/V_W6_F_So_D_N1.mp4,../User/Stimuli/A_W6_F_So_D.wav,480,720,4000,0,0,,,
132,W8,Happy,Speech,Dog,Baseline,../User/Stimuli/AV_W8_H_Sp_D_N1.mp4,,480,720,4000,0,0,,,
133,W6,Happy,Song,Dog,Baseline,../User/Stimuli/AV_W6_H_So_D_N1.mp4,,480,720,4000,0,0,,,
134,M9,Angry,Speech,Kid,No,../User/Stimuli/V_M9_A_Sp_K_N1.mp4,../User/Stimuli/A_M9_A_Sp_K.wav,480,720,4000,0,0,,,
135,M7,Happy,Speech,Kid,Low,../User/Stimuli/V_M7_H_Sp_K_N1.mp4,../User/Stimuli/A_M7_H_Sp_K_0.wav,480,720,4000,0,0,,,
136,M7,Neutral,Speech,Dog,No,../User/Stimuli/V_M7_N_Sp_D_N1.mp4,../User/Stimuli/A_M7_N_Sp_D.wav,480,720,4000,0,0,,,
137,M9,Neutral,Song,Dog,Baseline,../User/Stimuli/AV_M9_N_So_D_N1.mp4,,480,720,4000,0,0,,,
138,M9,Angry,Speech,Kid,High,../User/Stimuli/V_M9_A_Sp_K_N1.mp4,../User/Stimuli/A_M9_A_Sp_K_-5.wav,480,720,4000,0,0,,,
139,W8,Angry,Song,Dog,Baseline,../User/Stimuli/AV_W8_A_So_D_N1.mp4,,480,720,4000,0,0,,,
140,M9,Angry,Song,Dog,Low,../User/Stimuli/V_M9_A_So_D_N1.mp4,../User/Stimuli/A_M9_A_So_D_0.wav,480,720,4000,0,0,,,
141,M7,Happy,Speech,Kid,Baseline,../User/Stimuli/AV_M7_H_Sp_K_N1.mp4,,480,720,4000,0,0,,,
142,W6,Fearful,Speech,Kid,Low,../User/Stimuli/V_W6_F_Sp_K_N1.mp4,../User/Stimuli/A_W6_F_Sp_K_0.wav,480,720,4000,0,0,,,
143,W8,Neutral,Speech,Dog,Baseline,../User/Stimuli/AV_W8_N_Sp_D_N1.mp4,,480,720,4000,0,0,,,
144,M9,Neutral,Song,Kid,High,../User/Stimuli/V_M9_N_So_K_N1.mp4,../User/Stimuli/A_M9_N_So_K_-5.wav,480,720,4000,0,0,,,
145,M7,Fearful,Speech,Dog,High,../User/Stimuli/V_M7_F_Sp_D_N1.mp4,../User/Stimuli/A_M7_F_Sp_D_-5.wav,480,720,4000,0,0,,,
146,W8,Neutral,Song,Dog,Low,../User/Stimuli/V_W8_N_So_D_N1.mp4,../User/Stimuli/A_W8_N_So_D_0.wav,480,720,4000,0,0,,,
147,M9,Neutral,Speech,Dog,Baseline,../User/Stimuli/AV_M9_N_Sp_D_N1.mp4,,480,720,4000,0,0,,,
148,M7,Fearful,Song,Kid,No,../User/Stimuli/V_M7_F_So_K_N1.mp4,../User/Stimuli/A_M7_F_So_K.wav,480,720,4000,0,0,,,
149,M9,Angry,Song,Dog,No,../User/Stimuli/V_M9_A_So_D_N1.mp4,../User/Stimuli/A_M9_A_So_D.wav,480,720,4000,0,0,,,
150,W8,Happy,Song,Kid,High,../User/Stimuli/V_W8_H_So_K_N1.mp4,../User/Stimuli/A_W8_H_So_K_-5.wav,480,720,4000,0,0,,,
151,W8,Happy,Speech,Dog,No,../User/Stimuli/V_W8_H_Sp_D_N1.mp4,../User/Stimuli/A_W8_H_Sp_D.wav,480,720,4000,0,0,,,
152,M7,Neutral,Speech,Dog,Baseline,../User/Stimuli/AV_M7_N_Sp_D_N1.mp4,,480,720,4000,0,0,,,
153,M7,Happy,Speech,Dog,Baseline,../User/Stimuli/AV_M7_H_Sp_D_N1.mp4,,480,720,4000,0,0,,,
154,W6,Happy,Speech,Dog,Baseline,../User/Stimuli/AV_W6_H_Sp_D_N1.mp4,,480,720,4000,0,0,,,
155,M7,Fearful,Song,Dog,Baseline,../User/Stimuli/AV_M7_F_So_D_N1.mp4,,480,720,4000,0,0,,,
156,M9,Neutral,Song,Kid,No,../User/Stimuli/V_M9_N_So_K_N1.mp4,../User/Stimuli/A_M9_N_So_K.wav,480,720,4000,0,0,,,
157,W8,Neutral,Song,Kid,Baseline,../User/Stimuli/AV_W8_N_So_K_N1.mp4,,480,720,4000,0,0,,,
158,W6,Angry,Song,Dog,Baseline,../User/Stimuli/AV_W6_A_So_D_N1.mp4,,480,720,4000,0,0,,,
159,M9,Angry,Song,Dog,High,../User/Stimuli/V_M9_A_So_D_N1.mp4,../User/Stimuli/A_M9_A_So_D_-5.wav,480,720,4000,0,0,,,
160,M7,Neutral,Song,Kid,High,../User/Stimuli/V_M7_N_So_K_N1.mp4,../User/Stimuli/A_M7_N_So_K_-5.wav,480,720,4000,0,0,,,
,,,,,,,,,,,,,,,
